threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
1,4428674666.000000,4.428675,390626,1.964092
1,4246716144.000000,4.246716,390626,1.851069
1,4228028801.000000,4.228029,390626,1.853705
1,4219693768.000000,4.219694,390626,1.847183
1,4192401697.000000,4.192402,390626,1.834885
1,4237827423.000000,4.237827,390626,1.841915
1,4243563332.000000,4.243563,390626,1.843528
1,4187070788.000000,4.187071,390626,1.831388
1,4215627380.000000,4.215627,390626,1.840053
1,4195884154.000000,4.195884,390626,1.828043
