threads,epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
1,16,3462.481999,3.462482,390492,1897528244
1,16,3358.535241,3.358535,390492,1892138177
1,16,3410.413570,3.410414,390492,1954035167
1,16,3340.339593,3.340340,390492,1890811612
1,16,3337.264227,3.337264,390492,1880639047
1,16,3318.864867,3.318865,390492,1876888619
1,16,3354.788481,3.354788,390492,1898637590
1,16,3335.594290,3.335594,390492,1884866277
1,16,3323.481444,3.323481,390492,1858444984
1,16,3281.590714,3.281591,390492,1860370554
