baseline,epsilon,threads,latency_ns,wall_time_s,hit_ratio,avg_IOs,data_io_ns
FALCON,16,1,60628.618154,30.314771,0.000000,2975323,13435734144
FALCON,16,2,105568.007736,26.392573,0.000000,2972022,9449974144
FALCON,16,4,230447.223308,28.812450,0.000000,2965567,11461257853
FALCON,16,8,481713.075188,30.114166,0.000000,2954015,11795864418
FALCON,16,16,527094.829710,16.476671,0.000000,2960488,13839215867
FALCON,16,32,614951.602336,9.621601,0.000000,2962278,18283357223
FALCON,16,64,916238.913250,7.168016,0.000000,2964256,35579313385
FALCON,16,128,1829871.499544,7.186773,0.000000,2964655,88228654297
FALCON,16,256,3591372.244262,7.072615,0.000000,2951062,85807422671
FALCON,16,512,7456434.768922,7.447706,0.000000,2926688,87502694205
FALCON,16,1024,15749451.495800,7.896497,0.000000,2877509,93607200393
FALCON,16,1,104042.458768,52.021493,0.000000,2975081,34215948523
FALCON,16,2,128866.493220,32.220876,0.000000,2971953,15058084068
FALCON,16,4,200201.355288,25.032308,0.000000,2965739,7963977660
FALCON,16,8,500986.647000,31.315806,0.000000,2953870,12743209499
FALCON,16,16,518922.346738,16.222056,0.000000,2960554,13300466835
FALCON,16,32,625166.132040,9.805908,0.000000,2961460,19783873570
FALCON,16,64,966493.001260,7.569453,0.000000,2963859,38938145756
FALCON,16,128,1596550.937988,6.270906,0.000000,2965338,74866867429
FALCON,16,256,3665206.957058,7.209002,0.000000,2951629,89102822005
FALCON,16,512,7616411.383016,7.573026,0.000000,2924295,93291661773
FALCON,16,1024,16112213.634782,8.076472,0.000000,2869332,96196448527
FALCON,16,1,104511.605408,52.260758,0.000000,2975120,33994599515
FALCON,16,2,131948.315432,32.989955,0.000000,2972004,15758494742
FALCON,16,4,200662.130688,25.099409,0.000000,2965479,7909589452
FALCON,16,8,486286.246012,30.402828,0.000000,2953889,12131134687
FALCON,16,16,521750.014014,16.309194,0.000000,2961338,12578049635
FALCON,16,32,572462.677160,8.951512,0.000000,2963609,16171678055
FALCON,16,64,965654.763004,7.571232,0.000000,2963987,39105918261
FALCON,16,128,1798158.283454,7.048289,0.000000,2965167,86256423707
FALCON,16,256,3570432.231066,7.015974,0.000000,2952803,84787633010
FALCON,16,512,7503927.588438,7.457339,0.000000,2923639,87752777815
FALCON,16,1024,15248977.258130,7.790804,0.000000,2880887,88892779110
