baseline,threads,latency_ns,wall_time_s,avg_IOs,data_IO_time
FALCON-RMI,1,49775.924312,24.888109,498836,20856650676
FALCON-RMI,2,75614.270203,18.903805,497584,14592092583
FALCON-RMI,4,127080.232713,15.886015,495271,10169354044
FALCON-RMI,8,304125.049366,19.009215,490664,12673591636
FALCON-RMI,16,394834.752137,12.344810,492657,15836776740
FALCON-RMI,32,611635.994682,9.567623,493018,28124502883
FALCON-RMI,64,1023873.755323,8.009017,493433,52253437144
FALCON-RMI,128,1908324.366485,7.487542,494660,104192034597
FALCON-RMI,256,3670384.424968,7.190065,488550,96769736460
FALCON-RMI,512,8706743.403348,8.585189,477671,115558176712
FALCON-RMI,1024,16657152.611688,8.388908,458405,114298135356
FALCON-RMI,1,49727.528558,24.863979,498808,20709121124
FALCON-RMI,2,70960.301269,17.740272,497584,13574576194
FALCON-RMI,4,145606.793197,18.220010,495271,12271118030
FALCON-RMI,8,281818.986136,17.619993,490664,11842605575
FALCON-RMI,16,341462.470890,10.686250,492772,13475756253
FALCON-RMI,32,457400.312083,7.152701,493570,20359259745
FALCON-RMI,64,926830.514490,7.255829,493952,49189229927
FALCON-RMI,128,1883624.009816,7.393255,494733,104228488930
FALCON-RMI,256,3840771.042454,7.529836,488269,102275208953
FALCON-RMI,512,8968930.811911,8.847035,477972,117361484862
FALCON-RMI,1024,17504668.839071,8.694821,448077,115428007434
FALCON-RMI,1,51326.080616,25.671043,498860,21421379708
FALCON-RMI,2,74931.200311,18.736085,497579,14418285455
FALCON-RMI,4,137821.173279,17.237913,495271,11682744732
FALCON-RMI,8,297236.765285,18.597962,490675,12412547469
FALCON-RMI,16,339367.129145,10.627348,492943,13668489829
FALCON-RMI,32,488417.873443,7.641991,493289,22261604892
FALCON-RMI,64,824436.783681,6.452892,494070,42011021853
FALCON-RMI,128,1927185.913494,7.554523,494209,106399406082
FALCON-RMI,256,3894246.819813,7.632443,488572,104024603009
FALCON-RMI,512,8812274.387408,8.718364,479402,117611945618
FALCON-RMI,1024,19293717.645973,9.543265,447629,125524059052
