io_size,cdf
4096,1e-06
8192,1.5e-05
12288,2.8e-05
16384,0.000402
20480,0.000697
24576,0.000719
28672,0.00128
32768,0.001369
36864,0.001429
73728,0.001898
77824,0.002008
106496,0.002168
110592,0.003447
114688,0.004895
135168,0.006099
139264,0.006222
147456,0.00729
151552,0.008558
167936,0.008797
172032,0.009034
192512,0.011383
196608,0.011793
204800,0.012698
208896,0.013787
253952,0.0147
258048,0.015113
307200,0.01549
311296,0.016179
327680,0.017663
331776,0.01783
360448,0.018383
364544,0.018904
417792,0.019623
421888,0.019847
446464,0.022401
450560,0.02312
483328,0.023412
487424,0.023464
516096,0.023995
520192,0.026408
573440,0.026415
577536,0.026546
659456,0.027814
663552,0.031436
778240,0.035278
782336,0.035928
843776,0.038558
847872,0.03876
921600,0.043464
925696,0.044343
1011712,0.048311
1015808,0.04964
1024000,0.050141
1028096,0.050626
1032192,0.055184
1036288,0.133298
1212416,0.134503
1216512,0.137116
1347584,0.137796
1351680,0.140582
1388544,0.140827
1392640,0.141011
1822720,0.142952
1826816,0.144979
2084864,0.159945
2088960,0.262552
2650112,0.266169
2654208,0.271178
2752512,0.280772
3084288,0.283586
3088384,0.289983
3207168,0.343369
3219456,0.366721
3231744,0.381144
3239936,0.391515
3252224,0.399379
3256320,0.405607
3264512,0.410961
3268608,0.528254
3272704,0.555233
3276800,0.565809
3280896,0.568146
3284992,0.56925
3289088,0.570072
3293184,0.570528
3297280,0.571091
3301376,0.572129
3305472,0.573693
3309568,0.573753
3313664,0.573851
3317760,0.573932
3321856,0.574174
3325952,0.574419
3330048,0.574526
3334144,0.57473
3338240,0.575231
3342336,0.578984
3346432,0.579414
3350528,0.579911
3354624,0.580174
3375104,0.580178
3379200,0.580317
3383296,0.580319
3604480,0.580322
3796992,0.580386
3801088,0.580452
3817472,0.609025
3821568,0.692334
5070848,0.702212
5074944,0.73579
6066176,0.736212
6070272,0.736706
6295552,0.737601
6299648,0.738609
6381568,0.740998
6385664,0.741227
6586368,0.895421
6590464,0.976077
8290304,0.985698
8294400,0.987477
31981568,0.995936
31985664,1
